id_comanda,data_ora,nume_restaurant,tip_comanda,metoda_plata,numar_masa,id_ospatar,nume_produs,categorie_standard,cantitate,pret_unitar_ron,total_linie_ron
ORD-202608-00004,2026-08-30 20:52:51,Restaurantul Nostru,Pachet,Bonuri de Masa,N/A,SYS-ONLINE,Bere Nepasteurizată Zăganu 0.5L,Băuturi Alcoolice & Bere,1,22.0,22.0
ORD-202608-00004,2026-08-30 20:52:51,Restaurantul Nostru,Pachet,Bonuri de Masa,N/A,SYS-ONLINE,Varză Călită în Vin cu Chimen,Garnituri,1,15.0,15.0
ORD-202608-00004,2026-08-30 20:52:51,Restaurantul Nostru,Pachet,Bonuri de Masa,N/A,SYS-ONLINE,Salată Caesar cu Pui la Grătar,Salate,3,38.0,114.0
ORD-202608-00005,2026-08-20 12:04:25,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Platou Boieresc (2-3 persoane),Cârnați & Platouri,1,145.0,145.0
ORD-202608-00005,2026-08-20 12:04:25,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Bere Ciuc Premium la Draught 0.4L,Băuturi Alcoolice & Bere,1,14.0,14.0
ORD-202608-00005,2026-08-20 12:04:25,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Ciorbă Rădăuțeană de Pui,Ciorbe & Supe,1,26.0,26.0
ORD-202608-00005,2026-08-20 12:04:25,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Sarmale Românești în Foi de Varză (4 buc),Mâncăruri Gătite & Specialități,1,44.0,44.0
ORD-202608-00005,2026-08-20 12:04:25,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Bere Heineken 0.33L,Băuturi Alcoolice & Bere,1,16.0,16.0
ORD-202608-00006,2026-08-05 19:44:57,Restaurantul Nostru,La Masa,Card,Masa 33,OSP-04,Ștrudel de Mere cu Sos de Vanilie,Desert,1,25.0,25.0
ORD-202608-00006,2026-08-05 19:44:57,Restaurantul Nostru,La Masa,Card,Masa 33,OSP-04,Ciorbă de Văcuță,Ciorbe & Supe,1,25.0,25.0
ORD-202608-00006,2026-08-05 19:44:57,Restaurantul Nostru,La Masa,Card,Masa 33,OSP-04,Frăție de Mici & Cârnați,Preparate la Grătar & Mici,1,54.0,54.0
ORD-202608-00007,2026-08-24 13:06:36,Restaurantul Nostru,La Masa,Bonuri de Masa,Masa 31,OSP-02,Ciorbă de Burtiță Tradițională,Ciorbe & Supe,1,28.0,28.0
ORD-202608-00007,2026-08-24 13:06:36,Restaurantul Nostru,La Masa,Bonuri de Masa,Masa 31,OSP-02,Pastramă de Oaie la Tigaie cu Mămăligă,Mâncăruri Gătite & Specialități,1,56.0,56.0
ORD-202608-00007,2026-08-24 13:06:36,Restaurantul Nostru,La Masa,Bonuri de Masa,Masa 31,OSP-02,Țuică de Prune Ardelenească 50ml,Băuturi Alcoolice & Bere,2,18.0,36.0
ORD-202608-00008,2026-08-29 20:46:31,Restaurantul Nostru,La Masa,Card,Masa 8,OSP-02,Tochitură Moldovenească cu Mămăligă,Mâncăruri Gătite & Specialități,1,48.0,48.0
ORD-202608-00008,2026-08-29 20:46:31,Restaurantul Nostru,La Masa,Card,Masa 8,OSP-02,Salată Caesar cu Pui la Grătar,Salate,3,38.0,114.0
ORD-202608-00008,2026-08-29 20:46:31,Restaurantul Nostru,La Masa,Card,Masa 8,OSP-02,Bulz Ardelenesc la Grătar,Aperitive & Gustări,1,32.0,32.0
ORD-202608-00008,2026-08-29 20:46:31,Restaurantul Nostru,La Masa,Card,Masa 8,OSP-02,Ceafă de Porc la Grătar,Preparate la Grătar & Mici,2,38.0,76.0
ORD-202608-00009,2026-08-10 22:17:47,Restaurantul Nostru,La Masa,Card,Masa 2,OSP-02,Limonadă Proaspătă cu Miere și Mentă 0.5L,Băuturi Răcoritoare & Cafea,1,20.0,20.0
ORD-202608-00009,2026-08-10 22:17:47,Restaurantul Nostru,La Masa,Card,Masa 2,OSP-02,Bere Heineken 0.33L,Băuturi Alcoolice & Bere,1,16.0,16.0
ORD-202608-00009,2026-08-10 22:17:47,Restaurantul Nostru,La Masa,Card,Masa 2,OSP-02,Cappuccino cu Spumă de Lapte,Băuturi Răcoritoare & Cafea,1,15.0,15.0
ORD-202608-00009,2026-08-10 22:17:47,Restaurantul Nostru,La Masa,Card,Masa 2,OSP-02,Salată Caesar cu Pui la Grătar,Salate,2,38.0,76.0
ORD-202608-00010,2026-08-18 17:46:29,Restaurantul Nostru,Pachet,Numerar,N/A,SYS-ONLINE,Smântână Proaspătă 20%,Sosuri & Extra,1,5.0,5.0
ORD-202608-00010,2026-08-18 17:46:29,Restaurantul Nostru,Pachet,Numerar,N/A,SYS-ONLINE,Șnițel Gigant de Pui Pane,Mâncăruri Gătite & Specialități,1,36.0,36.0
ORD-202608-00010,2026-08-18 17:46:29,Restaurantul Nostru,Pachet,Numerar,N/A,SYS-ONLINE,Muștar Clasic,Sosuri & Extra,1,4.0,4.0
ORD-202608-00011,2026-08-21 20:57:53,Restaurantul Nostru,La Masa,Card,Masa 4,OSP-01,Sarmale Românești în Foi de Varză (4 buc),Mâncăruri Gătite & Specialități,1,44.0,44.0
ORD-202608-00011,2026-08-21 20:57:53,Restaurantul Nostru,La Masa,Card,Masa 4,OSP-01,Ciorbă de Perișoare,Ciorbe & Supe,1,24.0,24.0
ORD-202608-00011,2026-08-21 20:57:53,Restaurantul Nostru,La Masa,Card,Masa 4,OSP-01,Varză Călită în Vin cu Chimen,Garnituri,1,15.0,15.0
ORD-202608-00011,2026-08-21 20:57:53,Restaurantul Nostru,La Masa,Card,Masa 4,OSP-01,Salată de Ardei Copți,Salate,1,16.0,16.0
ORD-202608-00012,2026-08-05 23:38:29,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Cârnați Picanți de Pleșcoi,Cârnați & Platouri,3,42.0,126.0
ORD-202608-00012,2026-08-05 23:38:29,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Varză Călită în Vin cu Chimen,Garnituri,1,15.0,15.0
ORD-202608-00012,2026-08-05 23:38:29,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Platou Boieresc (2-3 persoane),Cârnați & Platouri,1,145.0,145.0
ORD-202608-00012,2026-08-05 23:38:29,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Platou Cârnați Asortați,Cârnați & Platouri,2,95.0,190.0
ORD-202608-00013,2026-08-24 17:02:07,Restaurantul Nostru,La Masa,Card,Masa 31,OSP-03,Lava Cake cu Înghețată de Vanilie,Desert,1,28.0,28.0
ORD-202608-00013,2026-08-24 17:02:07,Restaurantul Nostru,La Masa,Card,Masa 31,OSP-03,Fasole Bătută cu Ceapă Călită,Aperitive & Gustări,1,20.0,20.0
ORD-202608-00014,2026-08-29 21:46:32,Restaurantul Nostru,La Masa,Numerar,Masa 18,OSP-06,Salată Caesar cu Pui la Grătar,Salate,1,38.0,38.0
ORD-202608-00014,2026-08-29 21:46:32,Restaurantul Nostru,La Masa,Numerar,Masa 18,OSP-06,Șnițel Gigant de Pui Pane,Mâncăruri Gătite & Specialități,1,36.0,36.0
ORD-202608-00014,2026-08-29 21:46:32,Restaurantul Nostru,La Masa,Numerar,Masa 18,OSP-06,Iahnie de Fasole cu Bacon,Garnituri,3,16.0,48.0
ORD-202608-00014,2026-08-29 21:46:32,Restaurantul Nostru,La Masa,Numerar,Masa 18,OSP-06,Frigărui de Berbecuț,Preparate la Grătar & Mici,1,58.0,58.0
ORD-202608-00014,2026-08-29 21:46:32,Restaurantul Nostru,La Masa,Numerar,Masa 18,OSP-06,Salată Grecească,Salate,1,34.0,34.0
ORD-202608-00015,2026-08-16 12:20:44,Restaurantul Nostru,La Masa,Card,Masa 20,OSP-08,Varză Călită în Vin cu Chimen,Garnituri,1,15.0,15.0
ORD-202608-00015,2026-08-16 12:20:44,Restaurantul Nostru,La Masa,Card,Masa 20,OSP-08,Sos Barbeque,Sosuri & Extra,1,6.0,6.0
ORD-202608-00015,2026-08-16 12:20:44,Restaurantul Nostru,La Masa,Card,Masa 20,OSP-08,Frăție de Mici & Cârnați,Preparate la Grătar & Mici,1,54.0,54.0
ORD-202608-00015,2026-08-16 12:20:44,Restaurantul Nostru,La Masa,Card,Masa 20,OSP-08,Smântână Proaspătă 20%,Sosuri & Extra,1,5.0,5.0
ORD-202608-00015,2026-08-16 12:20:44,Restaurantul Nostru,La Masa,Card,Masa 20,OSP-08,Salată de Ardei Copți,Salate,1,16.0,16.0
ORD-202608-00016,2026-08-28 14:19:59,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Platou Gustări Rece Tradiționale,Cârnați & Platouri,1,85.0,85.0
ORD-202608-00016,2026-08-28 14:19:59,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Bere Ciuc Premium la Draught 0.4L,Băuturi Alcoolice & Bere,1,14.0,14.0
ORD-202608-00016,2026-08-28 14:19:59,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Smântână Proaspătă 20%,Sosuri & Extra,1,5.0,5.0
ORD-202608-00016,2026-08-28 14:19:59,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Pastramă de Oaie la Tigaie cu Mămăligă,Mâncăruri Gătite & Specialități,1,56.0,56.0
ORD-202608-00017,2026-08-03 17:44:35,Restaurantul Nostru,La Masa,Numerar,Masa 25,OSP-09,Platou Boieresc (2-3 persoane),Cârnați & Platouri,1,145.0,145.0
ORD-202608-00017,2026-08-03 17:44:35,Restaurantul Nostru,La Masa,Numerar,Masa 25,OSP-09,Tochitură Moldovenească cu Mămăligă,Mâncăruri Gătite & Specialități,1,48.0,48.0
ORD-202608-00017,2026-08-03 17:44:35,Restaurantul Nostru,La Masa,Numerar,Masa 25,OSP-09,Fasole Bătută cu Ceapă Călită,Aperitive & Gustări,1,20.0,20.0
ORD-202608-00017,2026-08-03 17:44:35,Restaurantul Nostru,La Masa,Numerar,Masa 25,OSP-09,Platou Cârnați Asortați,Cârnați & Platouri,1,95.0,95.0
ORD-202608-00017,2026-08-03 17:44:35,Restaurantul Nostru,La Masa,Numerar,Masa 25,OSP-09,Țuică de Prune Ardelenească 50ml,Băuturi Alcoolice & Bere,1,18.0,18.0
ORD-202608-00018,2026-08-23 14:56:37,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Țuică de Prune Ardelenească 50ml,Băuturi Alcoolice & Bere,1,18.0,18.0
ORD-202608-00018,2026-08-23 14:56:37,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Sarmale Românești în Foi de Varză (4 buc),Mâncăruri Gătite & Specialități,2,44.0,88.0
ORD-202608-00019,2026-08-17 11:14:59,Restaurantul Nostru,Pachet,Bonuri de Masa,N/A,SYS-ONLINE,Cașcaval Pane Crocant,Aperitive & Gustări,1,28.0,28.0
ORD-202608-00019,2026-08-17 11:14:59,Restaurantul Nostru,Pachet,Bonuri de Masa,N/A,SYS-ONLINE,Sarmale Românești în Foi de Varză (4 buc),Mâncăruri Gătite & Specialități,1,44.0,44.0
ORD-202608-00019,2026-08-17 11:14:59,Restaurantul Nostru,Pachet,Bonuri de Masa,N/A,SYS-ONLINE,Platou Cârnați Asortați,Cârnați & Platouri,1,95.0,95.0
ORD-202608-00019,2026-08-17 11:14:59,Restaurantul Nostru,Pachet,Bonuri de Masa,N/A,SYS-ONLINE,Țuică de Prune Ardelenească 50ml,Băuturi Alcoolice & Bere,2,18.0,36.0
ORD-202608-00020,2026-08-10 18:11:35,Restaurantul Nostru,La Masa,Card,Masa 30,OSP-04,Mici Românești de Vită-Porc (1 buc),Preparate la Grătar & Mici,1,7.5,7.5
ORD-202608-00020,2026-08-10 18:11:35,Restaurantul Nostru,La Masa,Card,Masa 30,OSP-04,Platou Boieresc (2-3 persoane),Cârnați & Platouri,1,145.0,145.0
ORD-202608-00020,2026-08-10 18:11:35,Restaurantul Nostru,La Masa,Card,Masa 30,OSP-04,Vin Purcari Rară Neagră Sticlă 0.75L,Băuturi Alcoolice & Bere,2,95.0,190.0
ORD-202608-00020,2026-08-10 18:11:35,Restaurantul Nostru,La Masa,Card,Masa 30,OSP-04,Cașcaval Pane Crocant,Aperitive & Gustări,2,28.0,56.0
ORD-202608-00020,2026-08-10 18:11:35,Restaurantul Nostru,La Masa,Card,Masa 30,OSP-04,Pastramă de Oaie la Tigaie cu Mămăligă,Mâncăruri Gătite & Specialități,2,56.0,112.0
ORD-202608-00021,2026-08-21 14:34:54,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Piept de Pui la Grătar,Preparate la Grătar & Mici,1,34.0,34.0
ORD-202608-00021,2026-08-21 14:34:54,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Ciorbă de Burtiță Tradițională,Ciorbe & Supe,1,28.0,28.0
ORD-202608-00021,2026-08-21 14:34:54,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Limonadă Proaspătă cu Miere și Mentă 0.5L,Băuturi Răcoritoare & Cafea,1,20.0,20.0
ORD-202608-00021,2026-08-21 14:34:54,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Clătite cu Finetti și Banane (2 buc),Desert,1,22.0,22.0
ORD-202608-00021,2026-08-21 14:34:54,Restaurantul Nostru,Pachet,Card,N/A,SYS-ONLINE,Ceafă de Porc la Grătar,Preparate la Grătar & Mici,1,38.0,38.0
ORD-202608-00022,2026-08-26 19:27:20,Restaurantul Nostru,La Masa,Card,Masa 3,OSP-09,Bere Heineken 0.33L,Băuturi Alcoolice & Bere,2,16.0,32.0
ORD-202608-00022,2026-08-26 19:27:20,Restaurantul Nostru,La Masa,Card,Masa 3,OSP-09,Piure de Cartofi cu Unt,Garnituri,1,16.0,16.0
ORD-202608-00022,2026-08-26 19:27:20,Restaurantul Nostru,La Masa,Card,Masa 3,OSP-09,Coș de Pâine de Casă,Sosuri & Extra,1,7.0,7.0
ORD-202608-00022,2026-08-26 19:27:20,Restaurantul Nostru,La Masa,Card,Masa 3,OSP-09,Supă Cremă de Legume cu Crutoane,Ciorbe & Supe,1,22.0,22.0
ORD-202608-00022,2026-08-26 19:27:20,Restaurantul Nostru,La Masa,Card,Masa 3,OSP-09,Lava Cake cu Înghețată de Vanilie,Desert,1,28.0,28.0
ORD-202608-00023,2026-08-15 15:58:19,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Coș de Pâine de Casă,Sosuri & Extra,1,7.0,7.0
ORD-202608-00023,2026-08-15 15:58:19,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Muștar Clasic,Sosuri & Extra,2,4.0,8.0
ORD-202608-00024,2026-08-08 16:54:48,Restaurantul Nostru,La Masa,Card,Masa 1,OSP-06,Cartofi Prăjiți cu Usturoi și Parmezan,Garnituri,3,18.0,54.0
ORD-202608-00024,2026-08-08 16:54:48,Restaurantul Nostru,La Masa,Card,Masa 1,OSP-06,Lava Cake cu Înghețată de Vanilie,Desert,1,28.0,28.0
ORD-202608-00024,2026-08-08 16:54:48,Restaurantul Nostru,La Masa,Card,Masa 1,OSP-06,Mămăliguță Caldă,Garnituri,1,8.0,8.0
ORD-202608-00024,2026-08-08 16:54:48,Restaurantul Nostru,La Masa,Card,Masa 1,OSP-06,Cârnați Picanți de Pleșcoi,Cârnați & Platouri,1,42.0,42.0
ORD-202608-00025,2026-08-25 21:33:48,Restaurantul Nostru,La Masa,Card,Masa 18,OSP-01,Țuică de Prune Ardelenească 50ml,Băuturi Alcoolice & Bere,1,18.0,18.0
ORD-202608-00025,2026-08-25 21:33:48,Restaurantul Nostru,La Masa,Card,Masa 18,OSP-01,Mici de Oaie și Vită (1 buc),Preparate la Grătar & Mici,1,8.5,8.5
ORD-202608-00025,2026-08-25 21:33:48,Restaurantul Nostru,La Masa,Card,Masa 18,OSP-01,Sarmale Românești în Foi de Varză (4 buc),Mâncăruri Gătite & Specialități,1,44.0,44.0
ORD-202608-00025,2026-08-25 21:33:48,Restaurantul Nostru,La Masa,Card,Masa 18,OSP-01,Frăție de Mici & Cârnați,Preparate la Grătar & Mici,1,54.0,54.0
ORD-202608-00026,2026-08-29 20:31:59,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Salată Caesar cu Pui la Grătar,Salate,1,38.0,38.0
ORD-202608-00026,2026-08-29 20:31:59,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Platou Boieresc (2-3 persoane),Cârnați & Platouri,1,145.0,145.0
ORD-202608-00026,2026-08-29 20:31:59,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Bere Nepasteurizată Zăganu 0.5L,Băuturi Alcoolice & Bere,1,22.0,22.0
ORD-202608-00026,2026-08-29 20:31:59,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Fasole Bătută cu Ceapă Călită,Aperitive & Gustări,1,20.0,20.0
ORD-202608-00027,2026-08-22 13:58:10,Restaurantul Nostru,La Masa,Numerar,Masa 26,OSP-06,Mujdei de Usturoi Tradițional,Sosuri & Extra,1,5.0,5.0
ORD-202608-00027,2026-08-22 13:58:10,Restaurantul Nostru,La Masa,Numerar,Masa 26,OSP-06,Lava Cake cu Înghețată de Vanilie,Desert,1,28.0,28.0
ORD-202608-00028,2026-08-07 22:30:26,Restaurantul Nostru,La Masa,Card,Masa 23,OSP-01,Bulz Ardelenesc la Grătar,Aperitive & Gustări,1,32.0,32.0
ORD-202608-00028,2026-08-07 22:30:26,Restaurantul Nostru,La Masa,Card,Masa 23,OSP-01,Tochitură Moldovenească cu Mămăligă,Mâncăruri Gătite & Specialități,1,48.0,48.0
ORD-202608-00028,2026-08-07 22:30:26,Restaurantul Nostru,La Masa,Card,Masa 23,OSP-01,Limonadă Proaspătă cu Miere și Mentă 0.5L,Băuturi Răcoritoare & Cafea,1,20.0,20.0
ORD-202608-00029,2026-08-30 10:19:55,Restaurantul Nostru,La Masa,Card,Masa 32,OSP-11,Sos Barbeque,Sosuri & Extra,1,6.0,6.0
ORD-202608-00029,2026-08-30 10:19:55,Restaurantul Nostru,La Masa,Card,Masa 32,OSP-11,Smântână Proaspătă 20%,Sosuri & Extra,2,5.0,10.0
ORD-202608-00029,2026-08-30 10:19:55,Restaurantul Nostru,La Masa,Card,Masa 32,OSP-11,Bulz Ardelenesc la Grătar,Aperitive & Gustări,2,32.0,64.0
ORD-202608-00030,2026-08-12 20:29:09,Restaurantul Nostru,La Masa,Numerar,Masa 26,OSP-01,Bere Ciuc Premium la Draught 0.4L,Băuturi Alcoolice & Bere,1,14.0,14.0
ORD-202608-00030,2026-08-12 20:29:09,Restaurantul Nostru,La Masa,Numerar,Masa 26,OSP-01,Lava Cake cu Înghețată de Vanilie,Desert,1,28.0,28.0
ORD-202608-00031,2026-08-31 12:29:55,Restaurantul Nostru,Livrare,Numerar,N/A,SYS-ONLINE,Salată de Vinete Coapte pe Plită,Aperitive & Gustări,2,24.0,48.0
ORD-202608-00031,2026-08-31 12:29:55,Restaurantul Nostru,Livrare,Numerar,N/A,SYS-ONLINE,Apă Minerală / Plată Borsec 0.5L,Băuturi Răcoritoare & Cafea,1,10.0,10.0
ORD-202608-00031,2026-08-31 12:29:55,Restaurantul Nostru,Livrare,Numerar,N/A,SYS-ONLINE,Ciorbă de Văcuță,Ciorbe & Supe,1,25.0,25.0
ORD-202608-00031,2026-08-31 12:29:55,Restaurantul Nostru,Livrare,Numerar,N/A,SYS-ONLINE,Coca-Cola / Coca-Cola Zero 0.33L,Băuturi Răcoritoare & Cafea,1,12.0,12.0
ORD-202608-00032,2026-08-20 12:31:57,Restaurantul Nostru,La Masa,Card,Masa 35,OSP-04,Fasole Bătută cu Ceapă Călită,Aperitive & Gustări,2,20.0,40.0
ORD-202608-00032,2026-08-20 12:31:57,Restaurantul Nostru,La Masa,Card,Masa 35,OSP-04,Muștar Clasic,Sosuri & Extra,1,4.0,4.0
ORD-202608-00032,2026-08-20 12:31:57,Restaurantul Nostru,La Masa,Card,Masa 35,OSP-04,Coș de Pâine de Casă,Sosuri & Extra,1,7.0,7.0
ORD-202608-00032,2026-08-20 12:31:57,Restaurantul Nostru,La Masa,Card,Masa 35,OSP-04,Ciorbă de Burtiță Tradițională,Ciorbe & Supe,1,28.0,28.0
ORD-202608-00032,2026-08-20 12:31:57,Restaurantul Nostru,La Masa,Card,Masa 35,OSP-04,Ciorbă de Văcuță,Ciorbe & Supe,1,25.0,25.0
ORD-202608-00033,2026-08-29 20:05:46,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Apă Minerală / Plată Borsec 0.5L,Băuturi Răcoritoare & Cafea,1,10.0,10.0
ORD-202608-00033,2026-08-29 20:05:46,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Cârnați Picanți de Pleșcoi,Cârnați & Platouri,1,42.0,42.0
ORD-202608-00033,2026-08-29 20:05:46,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Limonadă Proaspătă cu Miere și Mentă 0.5L,Băuturi Răcoritoare & Cafea,1,20.0,20.0
ORD-202608-00033,2026-08-29 20:05:46,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Pastramă de Oaie la Tigaie cu Mămăligă,Mâncăruri Gătite & Specialități,1,56.0,56.0
ORD-202608-00033,2026-08-29 20:05:46,Restaurantul Nostru,Livrare,Card,N/A,SYS-ONLINE,Mămăliguță Caldă,Garnituri,3,8.0,24.0
ORD-202608-00034,2026-08-09 21:00:32,Restaurantul Nostru,La Masa,Card,Masa 28,OSP-10,Salată Grecească,Salate,1,34.0,34.0
ORD-202608-00034,2026-08-09 21:00:32,Restaurantul Nostru,La Masa,Card,Masa 28,OSP-10,Coș de Pâine de Casă,Sosuri & Extra,1,7.0,7.0
ORD-202608-00034,2026-08-09 21:00:32,Restaurantul Nostru,La Masa,Card,Masa 28,OSP-10,Varză Călită în Vin cu Chimen,Garnituri,1,15.0,15.0
ORD-202608-00035,2026-08-10 20:46:02,Restaurantul Nostru,La Masa,Card,Masa 24,OSP-08,Bere Heineken 0.33L,Băuturi Alcoolice & Bere,1,16.0,16.0
ORD-202608-00035,2026-08-10 20:46:02,Restaurantul Nostru,La Masa,Card,Masa 24,OSP-08,Clătite cu Finetti și Banane (2 buc),Desert,3,22.0,66.0
ORD-202608-00035,2026-08-10 20:46:02,Restaurantul Nostru,La Masa,Card,Masa 24,OSP-08,Espresso Scurt / Lung Julius Meinl,Băuturi Răcoritoare & Cafea,1,12.0,12.0
ORD-202608-00035,2026-08-10 20:46:02,Restaurantul Nostru,La Masa,Card,Masa 24,OSP-08,Cârnați Picanți de Pleșcoi,Cârnați & Platouri,1,42.0,42.0
ORD-202608-00036,2026-08-21 13:25:59,Restaurantul Nostru,La Masa,Card,Masa 30,OSP-10,Pachet Vinul Casei Fetească Regală 1L,Băuturi Alcoolice & Bere,1,55.0,55.0
ORD-202608-00036,2026-08-21 13:25:59,Restaurantul Nostru,La Masa,Card,Masa 30,OSP-10,Cârnați Picanți de Pleșcoi,Cârnați & Platouri,1,42.0,42.0
ORD-202608-00037,2026-08-17 13:45:30,Restaurantul Nostru,Pachet,Numerar,N/A,SYS-ONLINE,Platou Cârnați Asortați,Cârnați & Platouri,2,95.0,190.0
ORD-202608-00037,2026-08-17 13:45:30,Restaurantul Nostru,Pachet,Numerar,N/A,SYS-ONLINE,Clătite cu Finetti și Banane (2 buc),Desert,1,22.0,22.0
ORD-202608-00037,2026-08-17 13:45:30,Restaurantul Nostru,Pachet,Numerar,N/A,SYS-ONLINE,Frăție de Mici & Cârnați,Preparate la Grătar & Mici,1,54.0,54.0
ORD-202608-00037,2026-08-17 13:45:30,Restaurantul Nostru,Pachet,Numerar,N/A,SYS-ONLINE,Salată de Vinete Coapte pe Plită,Aperitive & Gustări,2,24.0,48.0
ORD-202608-00038,2026-08-16 11:14:54,Restaurantul Nostru,La Masa,Card,Masa 31,OSP-04,Sos Barbeque,Sosuri & Extra,1,6.0,6.0
ORD-202608-00038,2026-08-16 11:14:54,Restaurantul Nostru,La Masa,Card,Masa 31,OSP-04,Bulz Ardelenesc la Grătar,Aperitive & Gustări,1,32.0,32.0
ORD-202608-00038,2026-08-16 11:14:54,Restaurantul Nostru,La Masa,Card,Masa 31,OSP-04,Frăție de Mici & Cârnați,Preparate la Grătar & Mici,3,54.0,162.0
ORD-202608-00038,2026-08-16 11:14:54,Restaurantul Nostru,La Masa,Card,Masa 31,OSP-04,Bere Nepasteurizată Zăganu 0.5L,Băuturi Alcoolice & Bere,2,22.0,44.0
ORD-202608-00039,2026-08-26 13:05:25,Restaurantul Nostru,La Masa,Card,Masa 26,OSP-01,Ciorbă de Văcuță,Ciorbe & Supe,1,25.0,25.0
ORD-202608-00039,2026-08-26 13:05:25,Restaurantul Nostru,La Masa,Card,Masa 26,OSP-01,Ciolan de Porc Rumexit la Cuptor,Mâncăruri Gătite & Specialități,1,78.0,78.0
ORD-202608-00039,2026-08-26 13:05:25,Restaurantul Nostru,La Masa,Card,Masa 26,OSP-01,Țuică de Prune Ardelenească 50ml,Băuturi Alcoolice & Bere,1,18.0,18.0
